Years,Palay,Corn,Population
2010,15772319,6376796,94636700
2011,16684062,6971221,96337913
2012,18032525.47,7407068.35,98032317
2013,18439419.73,7377293.3,99700107
2014,18967826.17,7770602.74,101325201
2015,18149837.78,7518755.72,103031365
2016,17627244.82,7218816.55,104875266
2017,19276346.63,7914908.49,106738501
2018,19066093.94,7771918.63,108568836
2019,18814827.29,7978844.55,110380804
2020,19294855.51,8118545.88,112190977
2021,19960170.2,8287191.13,113880328
2022,19756392.28,8255609.68,115559009
